tecnico,,tempo
Umberto Lourenço Louzer Filho ,389,77
Umberto Lourenço Louzer Filho ,407,64
Umberto Lourenço Louzer Filho ,424,76
Umberto Lourenço Louzer Filho ,431,45
Umberto Lourenço Louzer Filho ,450,89
Umberto Lourenço Louzer Filho ,472,88
Umberto Lourenço Louzer Filho ,495,73
Umberto Lourenço Louzer Filho ,512,66
Umberto Lourenço Louzer Filho ,530,55
Vágner Mancini,50,66
Vágner Mancini,63,85
Vágner Mancini,76,72
Vágner Mancini,99,68
Vágner Mancini,115,45
Vágner Mancini,142,84
Vágner Mancini,165,63
Vágner Mancini,171,73
Vágner Mancini,183,78
Vágner Mancini,207,65
Vágner Mancini,228,68
Vágner Mancini,258,74
Vágner Mancini,282,77
Vágner Mancini,300,72
Vágner Mancini,319,70
Vágner Mancini,337,65
Vágner Mancini,355,73
Vágner Mancini,374,[]
Vágner Mancini,448,60
Vágner Mancini,469,56
Vágner Mancini,497,66
Vágner Mancini,514,70
Vágner Mancini,535,75
Vágner Mancini,580,72
Vágner Mancini,583,87
Vágner Mancini,594,78
Vágner Mancini,617,83
Vágner Mancini,629,76
Vágner Mancini,652,73
Vágner Mancini,668,75
Vágner Mancini,672,73
Vágner Mancini,690,72
Vágner Mancini,710,74
Vágner Mancini,723,45
Vágner Mancini,742,69
